rest_name,rating,reviews_num,type
Salty Sow,4.5,3018,"American (Traditional),Gastropubs"
Moonshine Patio Bar & Grill,4.5,3594,"Southern,Breakfast & Brunch,Venues & Event Spaces"
Franklin Barbecue,4.5,1206,"Barbeque,Salad,Sandwiches"
Odd Duck,4.5,66,"American (Traditional),Bars"
Doc B¡¯s Fresh Kitchen,5.0,308,"American (New),Beer Bar,Cocktail Bars"
Boteco,4.0,672,"Food Trucks,Brazilian,Latin American"
Launderette,4.0,829,"American (New),Breakfast & Brunch,Wine Bars"
Roaring Fork,4.0,501,American (Traditional)
Culinary Dropout,5.0,9,"Bars,American (New),Music Venues"
Otherside Deli,3.5,15,"Delis,Sandwiches"
ManinPasta,3.5,15,"Pizza,Italian,Wine Bars"
Dragonbeard Kitchen,4.5,123,"Asian Fusion,Hawaiian,Diners"
Honest Mary¡¯s,4.5,112,"American (New),Vegetarian"
Gus¡¯s World Famous Fried Chicken,4.0,1452,"Southern,Chicken Shop"
Second Bar + Kitchen,4.0,991,American (New)
Revelry Kitchen + Bar,4.5,106,"American (Traditional),Cocktail Bars"
Hopdoddy Burger Bar,4.0,4050,"Burgers,American (Traditional)"
Easy Tiger,4.0,1301,"German,Bakeries,Beer Gardens"
South Congress Cafe,4.0,2008,"Breakfast & Brunch,American (New)"
Swift¡¯s Attic,4.0,847,"American (New),Gastropubs,Tapas Bars"
Roaring Fork,4.5,852,American (New)
Barley Swine,5.0,14,"American (New),Bars"
Sushi Hi,4.0,437,"Sushi Bars,Ramen,Acai Bowls"
The Hightower,4.5,520,American (New)
True Food Kitchen,4.5,55,"American (New),Vegan,Vegetarian"
Wild Chix & Waffles,4.0,1176,"Waffles,Chicken Shop,Breakfast & Brunch"
888 Pan Asian Restaurant,4.5,1293,"Vietnamese,Thai,Chinese"
Koriente,4.5,2965,"Asian Fusion,Vegetarian,Gluten-Free"
Home Slice Pizza,4.0,383,"Pizza,Sandwiches"
The Grove Wine Bar & Kitchen,4.0,1303,"Pizza,Wine Bars,Italian"
Sway,4.5,273,"Thai,Wine Bars"
Picnik,4.0,1248,"American (New),Bars,Breakfast & Brunch"
Perla¡¯s,4.5,14,"Seafood,Breakfast & Brunch"
Flower Child,4.0,371,"Salad,American (New),Vegan"
Stella San Jac,4.0,311,"American (New),Sandwiches,Southern"
Sala & Betty,4.0,678,"American (New),Diners,Sandwiches"
Contigo,4.0,797,"Bars,American (Traditional),Chicken Wings"
Hanabi Ramen & Kushiyaki,4.0,193,"Sushi Bars,Asian Fusion,Ramen"
Austin Taco Project,4.0,491,"Tapas/Small Plates,Bars,Tacos"
Eureka!,4.5,123,"Bars,American (New),Burgers"
Phoebe¡¯s Diner,4.5,123,"Breakfast & Brunch,Diners,American (Traditional)"
Irene¡¯s,4.0,277,"Bars,American (Traditional),Coffee & Tea"
Banger¡¯s Sausage House & Beer Garden,4.0,1637,"Pubs,Beer Gardens,Breakfast & Brunch"
Corner,4.0,297,"American (Traditional),Bars"
Jade Restaurant,4.5,45,"Asian Fusion,Dim Sum"
Heo Eatery,4.5,201,Vietnamese
Pitchfork Pretty,4.0,70,"Cocktail Bars,American (New),Barbeque"
Poke House,4.5,171,"Poke,Hawaiian,Sushi Bars"
Soto - South Lamar,4.5,40,"Japanese,Sushi Bars,Tapas/Small Plates"
DEE DEE,5.0,237,"Thai,Food Trucks"
Lamberts Downtown Barbecue,4.5,318,"Barbeque,Breakfast & Brunch,Sandwiches"
Jack Allen¡¯s Kitchen 360,4.5,1665,"Southern,American (Traditional)"
Bouldin Creek Cafe,4.0,77,"Vegetarian,Cafes,Vegan"
Jack Allen¡¯s Kitchen,4.5,902,"American (Traditional),Southern,Sports Bars"
Turf N Surf Po¡¯ Boy,4.0,923,"Cajun/Creole,Food Stands,Seafood"
Justine¡¯s Brasserie,4.0,1913,"French,Bars"
Ramen Tatsu-Ya,4.0,223,Ramen
Kemuri Tatsu-ya,4.5,1552,"Izakaya,Smokehouse"
la Barbecue,4.0,308,"Barbeque,Food Trucks,Sandwiches"
Emmer & Rye,4.0,425,"Tapas/Small Plates,American (New),Breakfast & Brunch"
The Peached Tortilla,4.0,425,"Asian Fusion,Southern"
P¨¦ch¨¦,4.0,914,"Lounges,French,Cocktail Bars"
The Big Kahuna,4.5,350,"Food Trucks,Hawaiian,Poke"
Juan In A Million,4.0,1397,"Mexican,Breakfast & Brunch,Tex-Mex"
Wilder Wood Restaurant & Bar,4.5,21,"Gluten-Free,New Mexican Cuisine,Cocktail Bars"
Lucky Robot,4.0,703,"Sushi Bars,Ramen"
Mattie¡¯s,4.0,92,"American (Traditional),Southern,Cocktail Bars"
Bonhomie,4.0,160,"Diners,French,Breakfast & Brunch"
The Backspace,4.0,571,"Italian,Pizza"
Eldorado Cafe,4.0,113,"Comfort Food,Mexican,Breakfast & Brunch"
Gourdough¡¯s Public House,4.5,194,"Pubs,American (Traditional)"
Juniper,4.0,853,"Italian,Modern European,American (New)"
Eastside Cafe,4.0,1038,"American (Traditional),Bars"
Ramen Tatsu-Ya,4.5,1911,Ramen
Uchi,3.5,129,"Sushi Bars,Japanese,Cocktail Bars"
Grizzelda¡¯s,4.0,966,"Mexican,Tex-Mex,Wine Bars"
North Italia,4.0,1154,"Italian,Pizza"
Blue Dahlia Bistro,4.0,406,"Breakfast & Brunch,French,Salad"
Jacoby¡¯s Restaurant & Mercantile,4.5,165,"American (New),Southern"
Royal Jelly,4.0,477,"American (New),Cocktail Bars,Sandwiches"
Tyson¡¯s Tacos,4.0,477,"Mexican,Coffee & Tea,Breakfast & Brunch"
Olive & June,4.0,480,Italian
The OASIS on Lake Travis,2.5,1632,"Tex-Mex,American (Traditional),Venues & Event Spaces"
Hula Hut,3.5,1211,"Tex-Mex,Mexican"
Paul Martin¡¯s Austin Grill,4.0,268,"American (New),Steakhouses,Seafood"
Lebowski¡¯s Grill,4.5,260,"Burgers,Sandwiches"
Parkside,4.0,864,"Seafood,American (New)"
Taco Joint,4.5,168,Mexican
Blue Dahlia Bistro,4.0,169,"Cafes,French,Coffee & Tea"
The Factory - Cafe with a Soul,4.0,305,"Coffee & Tea,Waffles,American (New)"
Troy,4.5,410,"Turkish,Mediterranean,Salad"
